ID,x,y,z,PCI
30,"-0.133774,-0.131805,-0.127945,-0.068405,-0.070999,-0.08577,-0.101364,-0.167603,-0.20137,-0.158447,-0.136536,-0.099915,-0.11361700000000001,-0.1306,-0.10856600000000001,-0.156677,-0.102234,-0.101944,-0.070435,-0.087677,-0.05859400000000001,-0.09317,-0.093445,-0.052002,-0.127762,-0.199966,-0.158646,-0.171707,-0.176117,-0.132523,-0.156326,-0.13836700000000002,-0.135147,-0.09848,-0.093811,-0.018631,0.017273,0.08107,0.052124000000000004,0.06613200000000001","-0.308014,-0.2612,-0.175522,-0.21937600000000002,-0.21810900000000003,-0.27116399999999996,-0.290619,-0.288773,-0.280029,-0.31433099999999997,-0.274307,-0.254761,-0.292068,-0.381393,-0.353851,-0.332489,-0.317963,-0.315643,-0.23960900000000002,-0.340454,-0.184952,-0.529709,-0.455032,-0.512283,-0.403229,-0.45410200000000006,-0.47824099999999997,-0.36644,-0.41226199999999996,-0.415268,-0.37698400000000004,-0.393402,-0.404099,-0.39550799999999997,-0.329041,-0.307831,-0.47659300000000004,-0.43350200000000005,-0.403473,-0.48765600000000003","-1.061951,-1.0682530000000001,-0.8201139999999999,-0.812164,-0.9907229999999999,-1.022476,-1.061295,-1.088257,-0.93219,-0.9481809999999999,-0.881577,-0.91951,-0.850525,-0.8719180000000001,-1.039932,-1.071243,-0.9068149999999999,-0.967606,-0.9266049999999999,-0.8568879999999999,-0.641205,-1.347839,-0.7820739999999999,-1.011017,-1.0291290000000002,-0.786957,-0.8280790000000001,-0.899857,-0.857834,-0.831009,-0.875244,-0.891708,-0.927155,-0.941788,-0.863373,-0.931961,-0.9486389999999999,-0.9211729999999999,-0.9605870000000001,-0.84552",60
31,"0.061325,0.005951,0.032486,0.03186,0.024048,0.060867,0.044327,0.074188,0.076813,0.100967,0.073425,0.067551,0.177048,0.206573,0.233902,0.397156,0.349396,0.31143200000000004,0.26683,0.273544,0.240585,0.09396399999999999,0.049545,0.180695,0.25621,0.172165,0.174957,0.256073,0.296127,0.294052,0.194687,0.206238,0.195114,0.263245,0.188736,0.08136,0.09317,0.13703900000000002,0.190643,0.107224","-0.47117600000000004,-0.31657399999999997,-0.433792,-0.32547,-0.345688,-0.338043,-0.357712,-0.36145,-0.407852,-0.434555,-0.474945,-0.548172,-0.45277399999999995,-0.288269,-0.31304899999999997,-0.362869,-0.301178,-0.33177199999999996,-0.332428,-0.35626199999999997,-0.345657,-0.362228,-0.32634,-0.263947,-0.341125,-0.348434,-0.48301700000000003,-0.3909,-0.338028,-0.399811,-0.347015,-0.258301,-0.172852,-0.259644,-0.352539,-0.31350700000000004,-0.179794,-0.190674,-0.281036,-0.369568","-0.8642120000000001,-0.960815,-0.8932190000000001,-0.9375459999999999,-0.8873139999999999,-0.92511,-0.8672030000000001,-0.852295,-0.9165040000000001,-1.068298,-0.987259,-0.995132,-0.8710629999999999,-0.8616790000000001,-0.766663,-0.926529,-0.914032,-0.924042,-0.9071959999999999,-0.930435,-0.962601,-0.906113,-0.9260709999999999,-0.940826,-0.9631040000000001,-0.9952850000000001,-0.860611,-0.9681700000000001,-1.002182,-1.030167,-0.9000549999999999,-0.9577180000000001,-0.776184,-1.016434,-0.9098360000000001,-0.9489139999999999,-0.989502,-0.8822629999999999,-1.006271,-1.155594",60
32,"-0.030029000000000004,-0.024429,0.081711,0.09153700000000001,-0.002625,-0.027389999999999998,0.032669,0.033844,0.044479000000000005,-0.046768000000000004,-0.002472,0.043655,0.073975,-0.05209400000000001,-0.085587,-0.009872,0.033829000000000005,0.0038450000000000003,0.032684,0.018646,0.006561,0.07987999999999999,0.027496,0.014084000000000001,0.050354,0.042191,0.053589,0.0867,0.080185,0.017883,0.028931000000000002,0.106796,0.035263,0.051926,0.041351,0.05859400000000001,-0.016724,-0.031311,0.062836,-0.025986000000000002","-0.26258899999999996,-0.240829,-0.292313,-0.356491,-0.39259299999999997,-0.329453,-0.270004,-0.217453,-0.33523600000000003,-0.30598400000000003,-0.09295700000000001,-0.235916,-0.43878199999999995,-0.48353599999999997,-0.387909,-0.409409,-0.23481799999999997,-0.311249,-0.33619699999999997,-0.446899,-0.217194,-0.36439499999999997,-0.346039,-0.268494,-0.24536100000000002,-0.23666399999999999,-0.249207,-0.348785,-0.421097,-0.355743,-0.396881,-0.432907,-0.32135,-0.28070100000000003,-0.372925,-0.44583100000000003,-0.25750700000000004,-0.35549899999999995,-0.562531,-0.49290500000000004","-1.080673,-0.8280639999999999,-0.8377379999999999,-0.9664149999999999,-1.0322879999999999,-0.997086,-0.8793489999999999,-0.949097,-1.066711,-0.7995,-0.918213,-0.843018,-0.8464360000000001,-1.114609,-1.116592,-0.8549190000000001,-0.814056,-1.129318,-0.8226469999999999,-0.921265,-0.8673549999999999,-0.964981,-1.069412,-0.8480219999999999,-1.1194309999999998,-0.640686,-0.699997,-1.026764,-0.961456,-0.9700780000000001,-1.06218,-0.829483,-0.9554600000000001,-0.8880620000000001,-0.951691,-0.8224030000000001,-0.8462370000000001,-1.106262,-0.9496,-1.1747889999999999",50
33,"-0.08477799999999999,-0.011948,0.028885,0.017943999999999998,-0.040633999999999997,0.00145,0.034485,-0.000153,0.001877,0.0064849999999999994,-0.07633999999999999,-0.035126,-0.13030999999999998,-0.186249,-0.193924,-0.170746,-0.277435,-0.205841,-0.306976,-0.13053900000000002,-0.26112399999999997,-0.22183200000000003,-0.095688,-0.203262,-0.254333,-0.226242,-0.26268,-0.24861100000000003,-0.264587,-0.215698,-0.154297,-0.100311,-0.15239,-0.19029200000000002,-0.137909,-0.109222,-0.133881,-0.170837,-0.13864100000000001,-0.119156","-0.356277,-0.446671,-0.278931,-0.329285,-0.448074,-0.275848,-0.40071100000000004,-0.478455,-0.383423,-0.322571,-0.438385,-0.334534,-0.41088900000000006,-0.355103,-0.356354,-0.312027,-0.374634,-0.399307,-0.58197,-0.565399,-0.674561,-0.326096,-0.537643,-0.302429,-0.351944,-0.4785,-0.360596,-0.394241,-0.633514,-0.541153,-0.504089,-0.589584,-0.42057799999999995,-0.443604,-0.45043900000000003,-0.447006,-0.476196,-0.460632,-0.46318100000000006,-0.47224399999999994","-1.079926,-0.794281,-0.583374,-1.042343,-0.840424,-0.937469,-1.361969,-0.9879459999999999,-0.92514,-0.74028,-0.9192959999999999,-0.583328,-1.142258,-1.01268,-1.052765,-0.811157,-0.9658049999999999,-0.7683409999999999,-0.756546,-0.782089,-1.126282,-0.8507389999999999,-0.873001,-0.773926,-0.85054,-0.820633,-0.7131649999999999,-0.8076479999999999,-0.897324,-0.8253780000000001,-0.9781340000000001,-0.782303,-0.802551,-0.833557,-0.703491,-0.829391,-0.895584,-0.923782,-0.8707889999999999,-0.818512",20
34,"-0.087158,-0.093307,-0.09353600000000001,-0.16488599999999998,-0.158554,-0.141998,-0.157852,-0.15213,-0.11418199999999999,-0.108475,-0.066849,-0.043335000000000005,-0.036972000000000005,-0.023224,-0.052399,-0.05921900000000001,-0.042877,-0.017761000000000002,0.021759,0.077499,0.129501,0.156906,0.08248899999999999,0.095276,0.12129200000000001,0.13284300000000002,0.07823200000000001,0.103485,0.095703,0.098785,0.096985,0.086029,0.095093,0.06515499999999999,0.079498,0.06323200000000001,0.060349,0.066971,0.068253,0.06543","-0.49586499999999994,-0.512512,-0.510818,-0.506195,-0.533447,-0.507278,-0.501328,-0.509369,-0.500092,-0.477768,-0.413696,-0.448441,-0.48381,-0.49058500000000005,-0.46136499999999997,-0.49101300000000003,-0.48490900000000003,-0.424637,-0.389862,-0.42732200000000004,-0.408279,-0.390717,-0.37738,-0.367523,-0.362854,-0.333908,-0.327255,-0.377731,-0.358765,-0.311829,-0.315765,-0.325577,-0.317474,-0.293137,-0.286896,-0.275574,-0.255981,-0.236771,-0.233093,-0.228394","-0.871323,-0.828781,-0.833008,-0.881851,-0.8508760000000001,-0.818588,-0.880768,-0.8676299999999999,-0.8766780000000001,-0.879135,-0.826874,-0.8882899999999999,-0.838074,-0.844986,-0.86554,-0.8969879999999999,-0.888092,-0.9154209999999999,-0.891769,-0.8981629999999999,-0.895798,-0.9487610000000001,-0.932861,-0.937759,-0.896439,-0.949127,-0.9162450000000001,-0.957886,-0.965485,-0.950729,-0.9555969999999999,-0.909286,-0.9606629999999999,-0.960785,-0.956512,-0.9468690000000001,-0.931534,-0.910782,-0.9329219999999999,-0.913773",50
35,"0.052948,0.014633000000000002,0.008728,-0.050613,-0.043579,-0.014709,-0.000122,-0.040313999999999996,-0.051361000000000004,-0.043472000000000004,-0.058105,-0.0755,-0.069351,-0.073486,-0.12721300000000002,-0.114853,-0.124649,-0.099335,-0.11029100000000001,-0.119583,-0.093613,-0.070053,-0.075119,-0.084229,-0.013748,0.007797,0.020432,0.013596,-0.033676,-0.0811,-0.082855,-0.06977799999999999,-0.015441999999999999,0.014159999999999999,-0.02562,-0.029663,0.002258,0.112274,0.166183,0.222565","-0.213333,-0.290375,-0.354797,-0.276627,-0.265808,-0.165802,-0.140778,-0.15646400000000002,-0.190247,-0.263916,-0.23960900000000002,-0.258362,-0.23298600000000003,-0.303177,-0.343491,-0.392151,-0.399567,-0.290161,-0.24752800000000003,-0.214691,-0.285339,-0.397903,-0.406509,-0.343353,-0.288208,-0.29246500000000003,-0.292252,-0.428421,-0.31604,-0.34729,-0.33007800000000004,-0.243729,-0.180557,-0.20965599999999998,-0.261292,-0.38739,-0.324905,-0.33120700000000003,-0.321335,-0.24894699999999997","-0.9730989999999999,-0.9947360000000001,-1.1362459999999999,-1.050171,-0.929932,-0.812866,-0.969849,-0.954773,-0.879669,-1.121445,-0.983139,-0.9729610000000001,-0.8430629999999999,-1.0369110000000001,-1.027527,-1.011108,-0.968567,-0.83609,-0.8205870000000001,-0.8424219999999999,-0.8784790000000001,-1.0514370000000002,-1.08667,-1.00177,-0.8145600000000001,-0.771103,-1.013702,-0.984711,-1.108994,-1.171371,-1.0430760000000001,-0.948425,-0.866409,-1.033875,-1.012756,-0.8871610000000001,-0.899185,-1.015518,-0.960327,-0.809906",60
36,"0.204453,0.138626,0.131912,0.145401,0.099182,0.111969,0.192841,0.121887,0.194885,0.152252,0.159149,0.082855,0.169479,0.140823,0.08680700000000001,0.221802,0.22303800000000001,0.07762100000000001,0.06282,0.009979,0.079315,0.1073,0.037704,0.027679000000000002,-0.022186,-0.03685,0.064774,0.043670999999999995,0.13325499999999998,-0.032913,-0.09024,-0.163269,-0.064957,-0.063797,-0.097214,-0.074249,-0.069229,-0.057999,-0.07366900000000001,-0.015456999999999999","-0.33972199999999997,-0.32324200000000003,-0.198425,-0.399185,-0.26379400000000003,-0.34083600000000003,-0.20648200000000003,-0.264786,-0.110367,-0.238083,-0.30241399999999996,-0.172058,-0.22938499999999998,-0.275513,-0.20741300000000001,-0.284988,-0.39119,-0.360626,-0.254105,-0.257797,-0.165726,-0.11451700000000001,-0.302246,-0.262558,-0.388779,-0.34019499999999997,-0.304123,-0.2034,-0.214523,-0.467606,-0.432892,-0.253723,-0.38612399999999997,-0.269775,-0.156754,-0.230042,-0.43260200000000004,-0.43904099999999996,-0.491608,-0.434982","-1.00795,-0.782791,-0.705933,-1.393219,-0.901108,-1.179977,-0.840042,-1.0199129999999998,-1.121902,-1.001633,-0.998993,-0.803391,-0.904709,-1.063126,-0.7731020000000001,-1.105057,-0.9290010000000001,-1.07608,-1.237579,-0.947784,-0.800125,-0.919601,-0.8375090000000001,-0.895233,-1.395813,-0.776016,-0.790039,-0.9039,-0.759613,-1.087616,-0.916641,-1.075912,-1.109634,-0.6097560000000001,-0.802063,-0.918716,-0.894592,-1.14267,-0.957123,-0.9151309999999999",40
37,"0.009644,0.027206,-0.043335000000000005,-0.073273,-0.066513,-0.031754000000000004,-0.035019,-0.019241,-0.068939,-0.06308,-0.039795,-0.051330999999999995,-0.040604,0.07267799999999999,0.073685,-0.07020599999999999,0.058166999999999996,0.10775799999999999,0.072586,-0.0905,-0.11518900000000001,-0.097992,-0.130905,-0.28726199999999996,-0.083176,-0.03154,-0.022476,-0.01268,-0.033615,-0.010178,0.021912,-0.077209,-0.020416,0.035156,0.048538,0.089188,0.10939000000000002,0.120331,0.115173,0.15278599999999998","-0.433899,-0.41976899999999995,-0.43904099999999996,-0.42228699999999997,-0.36885100000000004,-0.260056,-0.29631,-0.35495,-0.44792200000000004,-0.475662,-0.41243,-0.31446799999999997,-0.372314,-0.271286,-0.327759,-0.287521,-0.341217,-0.405411,-0.46980299999999997,-0.41838100000000006,-0.472397,-0.472321,-0.382874,-0.331924,-0.37606799999999996,-0.407959,-0.401535,-0.376205,-0.38246199999999997,-0.47691300000000003,-0.531784,-0.431976,-0.44944799999999996,-0.449646,-0.48687700000000006,-0.379745,-0.38799999999999996,-0.45575,-0.44944799999999996,-0.43338000000000004","-0.9464110000000001,-0.808243,-1.048904,-1.024765,-1.018127,-0.788712,-0.81134,-0.794571,-0.9261780000000001,-1.022659,-0.8409270000000001,-1.0023959999999998,-0.8695370000000001,-0.943069,-0.8728030000000001,-0.854248,-0.879135,-0.9750979999999999,-1.048355,-1.009598,-1.0239559999999999,-0.732452,-0.7894439999999999,-0.732803,-0.91275,-0.978607,-0.995346,-0.973938,-1.016953,-0.82135,-0.9767459999999999,-0.8795930000000001,-0.9040530000000001,-0.803864,-0.8232729999999999,-0.8313139999999999,-0.9098510000000001,-0.8772129999999999,-0.921539,-0.822784",50
38,"0.12735,0.112534,0.097717,0.089523,0.120728,0.082993,0.111053,0.087875,0.11377000000000001,0.135605,0.2285,0.20108,0.240952,0.150955,0.21359299999999998,0.233398,0.223373,0.156708,0.18649300000000002,0.210693,0.176224,0.191299,0.22888200000000003,0.15078699999999998,0.084534,0.098236,0.20011900000000002,0.21435500000000002,0.123306,0.181427,0.151306,0.121826,0.130859,0.048386,0.023315,-0.012909,0.018494,-0.017151,-0.039978,-0.025497","-0.487854,-0.47526599999999997,-0.49823,-0.475479,-0.539551,-0.548111,-0.34967,-0.38508600000000004,-0.460373,-0.34129299999999996,-0.359863,-0.44223,-0.41314700000000004,-0.376785,-0.39427199999999996,-0.460541,-0.365921,-0.408463,-0.404007,-0.420914,-0.39761399999999997,-0.44928,-0.43702700000000005,-0.543243,-0.605316,-0.382858,-0.335419,-0.41383400000000004,-0.40489200000000003,-0.360596,-0.5689850000000001,-0.438766,-0.49966400000000005,-0.38879400000000003,-0.47612,-0.34983800000000004,-0.215881,-0.545959,-0.32215900000000003,-0.27159099999999997","-0.904099,-0.9399719999999999,-0.796814,-1.042801,-0.949783,-0.9685969999999999,-0.950516,-0.871323,-0.933609,-0.763626,-0.937164,-0.9393309999999999,-1.057968,-0.8832700000000001,-0.9198299999999999,-0.847992,-0.966675,-0.860718,-0.686844,-0.8173520000000001,-0.687454,-0.8529969999999999,-1.0021360000000001,-1.109924,-0.9325709999999999,-0.8464969999999999,-0.777237,-0.760315,-0.916336,-0.961884,-0.990402,-0.8866729999999999,-1.0781100000000001,-0.685974,-0.863815,-0.950348,-0.958527,-1.182907,-0.851181,-0.939575",60
39,"0.10880999999999999,0.095047,0.06044,-0.014038,0.035904000000000005,0.038863999999999996,0.032593000000000004,-0.00412,0.023773,0.047744999999999996,0.061767999999999997,0.019913,0.044174,0.092636,0.09169,0.152359,0.156937,0.199356,0.11561600000000001,0.099945,0.173569,0.125687,0.109589,0.108002,0.166382,0.201202,0.153152,0.161987,0.18158,0.165482,0.130753,0.120026,0.169708,0.131088,0.08519,0.037643,0.085602,0.051758000000000005,0.009888,-0.092926","-0.38205,-0.459579,-0.371506,-0.292145,-0.318329,-0.266129,-0.34571799999999997,-0.287781,-0.30175799999999997,-0.24018899999999999,-0.280075,-0.30099499999999996,-0.20869400000000002,-0.2715,-0.208771,-0.189545,-0.135666,-0.2397,-0.196579,-0.121323,-0.153549,-0.164047,-0.157532,-0.098587,-0.190369,-0.317154,-0.19841,-0.205643,-0.21138,-0.215225,-0.167786,-0.17541500000000002,-0.24614,-0.19155899999999998,-0.21562199999999998,-0.199997,-0.217819,-0.190948,-0.234039,-0.1987","-0.8799739999999999,-1.017624,-0.8594360000000001,-0.8797450000000001,-0.867081,-0.794373,-1.169724,-0.934875,-0.939774,-1.060959,-0.847366,-1.1539760000000001,-0.969376,-1.031967,-0.842743,-0.915207,-0.8648379999999999,-0.8693540000000001,-0.94371,-0.81218,-1.1365049999999999,-0.8357540000000001,-0.993301,-0.914032,-1.05304,-1.081528,-0.994232,-0.9491729999999999,-1.019775,-0.9022979999999999,-0.9572299999999999,-0.91217,-0.991562,-0.960419,-0.957047,-0.845383,-0.9528049999999999,-0.9137120000000001,-0.9986879999999999,-1.0846559999999998",60
40,"-0.078278,-0.115311,-0.059539999999999996,0.024887,0.083481,0.082153,0.059891,0.012283,0.021729,-0.004135,0.01712,0.023331,0.019531,0.008408,0.027556999999999998,0.018509,0.040573000000000005,0.076324,0.083832,0.045302999999999996,0.061538999999999996,0.088272,0.094604,0.081818,0.11961400000000001,0.10371400000000001,0.089539,0.112122,0.095001,0.084976,0.069138,0.06695599999999999,0.077316,0.105804,0.09295700000000001,-0.0026550000000000002,-0.058013999999999996,0.043762,0.12925699999999998,0.08001699999999999","-0.245102,-0.320129,-0.23590100000000003,-0.310501,-0.303406,-0.284988,-0.30339099999999997,-0.298645,-0.304611,-0.32399,-0.330948,-0.325775,-0.335098,-0.365906,-0.320282,-0.315826,-0.320389,-0.372726,-0.38668800000000003,-0.335831,-0.332092,-0.401016,-0.380753,-0.336426,-0.360611,-0.29435700000000004,-0.272049,-0.266678,-0.323792,-0.372849,-0.37040700000000004,-0.376144,-0.3246,-0.355637,-0.343277,-0.36348,-0.340408,-0.28323400000000004,-0.349823,-0.33171100000000003","-0.9502719999999999,-0.9154209999999999,-0.940369,-1.005585,-0.896408,-0.9786530000000001,-0.9076540000000001,-0.896576,-0.948425,-0.9690549999999999,-0.9806520000000001,-0.921005,-0.975525,-0.9056850000000001,-0.98761,-0.921249,-0.956024,-1.008972,-0.968842,-0.9192049999999999,-0.912766,-0.875031,-0.8823850000000001,-0.951782,-0.895645,-0.9317629999999999,-0.841675,-0.89241,-0.9490049999999999,-0.974274,-1.090485,-0.9702149999999999,-0.881165,-0.8914340000000001,-0.867508,-1.0076450000000001,-0.9674530000000001,-0.992416,-0.878922,-0.915024",40
41,"0.0327,0.092407,0.11439500000000001,0.066711,0.054535,0.073456,0.033859,-0.021118,0.014252,0.043442,0.014877000000000001,0.013687000000000001,0.084656,0.147751,0.044937,0.0037689999999999998,0.027374000000000002,0.069687,0.071365,0.083496,0.091721,0.09350599999999999,0.075775,0.052063,0.083069,0.052673000000000005,0.03775,0.061737,0.03772,0.075272,0.045531999999999996,0.050232,0.067688,0.067764,0.076599,0.095886,0.0896,0.101761,0.065353,0.06546","-0.320847,-0.36180100000000004,-0.335541,-0.321793,-0.301361,-0.30687,-0.327942,-0.310226,-0.319763,-0.369827,-0.322815,-0.349686,-0.370789,-0.424957,-0.39765900000000004,-0.336365,-0.306503,-0.338104,-0.396057,-0.42858900000000005,-0.363235,-0.348267,-0.350327,-0.302719,-0.34158299999999997,-0.397064,-0.323441,-0.407532,-0.43414300000000006,-0.447495,-0.423447,-0.472717,-0.46601899999999996,-0.560471,-0.527283,-0.513962,-0.5420229999999999,-0.583496,-0.541702,-0.531464","-0.9665370000000001,-0.979507,-1.014679,-0.9511569999999999,-0.9593200000000001,-0.843216,-0.885864,-0.895508,-0.954407,-0.910416,-0.9726100000000001,-0.92395,-1.00473,-1.060165,-1.0083309999999999,-0.949127,-0.8181149999999999,-0.937759,-1.010651,-0.951126,-1.024506,-0.9082790000000001,-0.967499,-0.74231,-0.869125,-0.7064819999999999,-0.898834,-1.01709,-0.8632049999999999,-0.90094,-0.782867,-0.806488,-0.972397,-0.944717,-0.8614040000000001,-0.856873,-0.767868,-0.9830629999999999,-0.900711,-0.951401",60
42,"0.063217,0.083984,0.07518,0.07194500000000001,0.096466,0.117004,0.14715599999999998,0.06514,0.094604,0.020981,-0.021744,0.01355,0.071777,0.124161,0.127884,-0.00795,-0.027083999999999997,0.041016000000000004,-0.030991,-0.02507,-0.024155000000000003,-0.013153,-0.087006,-0.074158,-0.001663,-0.02034,-0.051666,-0.053191999999999996,-0.082535,-0.084503,-0.082458,-0.089188,-0.129883,-0.133163,-0.107498,-0.109222,-0.065353,-0.035263,-0.027969,0.021422999999999998","-0.520035,-0.493637,-0.48703,-0.49403400000000003,-0.460693,-0.444992,-0.449646,-0.378387,-0.378677,-0.334488,-0.460449,-0.58075,-0.272369,-0.290771,-0.472229,-0.370529,-0.41685500000000003,-0.397675,-0.323837,-0.31398000000000004,-0.180557,-0.253281,-0.369751,-0.41131599999999996,-0.384583,-0.420563,-0.31291199999999997,-0.326187,-0.35739099999999996,-0.277405,-0.349548,-0.325836,-0.345871,-0.296066,-0.293549,-0.23940999999999998,-0.335953,-0.319733,-0.301666,-0.334808","-0.8715360000000001,-0.8645780000000001,-0.902847,-0.921768,-0.844894,-0.80394,-0.955673,-0.675842,-0.7510220000000001,-0.6124569999999999,-1.092804,-0.7616729999999999,-0.735641,-0.802917,-1.002594,-0.797501,-0.901825,-1.115448,-0.808304,-0.8849030000000001,-0.796555,-0.964203,-0.9242100000000001,-1.060318,-1.034973,-0.972672,-0.833298,-0.8854219999999999,-0.802689,-0.956635,-1.011108,-0.994705,-1.09465,-0.882523,-0.971909,-0.8852389999999999,-0.911667,-0.9552309999999999,-0.962326,-1.049332",50
43,"0.043488,0.029968,0.008652,0.050858,-0.000549,-0.029556,-0.00325,0.010620000000000001,0.026702999999999998,-0.015686000000000002,0.040817,0.0032649999999999997,0.008987,0.000244,-0.009231999999999999,0.0009609999999999999,0.008713,0.026718000000000002,0.024475,0.007065000000000001,0.030456999999999998,0.018127,0.020432,0.045029,0.045074,-0.032867,0.025314,-0.025330000000000002,-0.022583000000000002,-0.013428,-0.027587999999999998,-0.013350999999999998,-0.057250999999999996,-0.048843,-0.033431999999999996,0.005524,-0.005692,0.0121,0.038803,0.020996","-0.24983200000000003,-0.217392,-0.20788600000000002,-0.110306,-0.060394,-0.274231,-0.20253,-0.161926,-0.259644,-0.063141,-0.142014,-0.084351,-0.10289000000000001,-0.113785,-0.044617000000000004,-0.129959,-0.125168,-0.106995,-0.075287,-0.08320599999999999,-0.062637,-0.09169,-0.122116,-0.065231,-0.143646,-0.03801,0.029160000000000002,-0.044846,-0.147064,-0.116211,-0.123428,-0.121323,-0.150482,-0.15826400000000002,-0.138397,-0.14064000000000002,-0.158722,-0.165298,-0.141708,-0.102386","-0.967361,-0.975891,-0.94281,-1.054352,-1.000137,-0.8622280000000001,-0.9602200000000001,-0.9927219999999999,-1.069321,-1.040558,-1.2090299999999998,-0.981583,-1.040314,-0.963623,-0.868958,-0.944427,-0.978561,-0.9302219999999999,-0.937225,-0.992584,-0.9561459999999999,-0.951218,-1.057388,-1.032257,-1.069656,-1.015991,-1.053146,-1.018234,-1.043854,-1.009583,-0.99469,-0.94014,-1.0423280000000001,-1.043213,-1.0167540000000002,-1.030685,-1.0121149999999999,-0.986511,-1.024033,-0.944534",50
44,"0.023834,0.006256,0.009613,-0.004790999999999999,0.011398,0.024215999999999998,0.021575999999999998,0.039169,0.03598,0.027007999999999997,0.03978,0.002457,-0.00499,-0.013519,-0.037781,-0.09848,-0.142014,-0.121689,-0.12498499999999998,-0.13063,-0.08325199999999999,-0.087845,-0.054810000000000005,-0.061217999999999995,-0.009247,0.009766,-0.025742,-0.100082,0.015808000000000003,0.0271,0.012343999999999999,-0.021362,0.009216,-0.123352,-0.19381700000000002,-0.225021,-0.073654,-0.03653,0.017242,0.020737000000000002","-0.091782,-0.08520499999999999,-0.11091600000000001,-0.22894299999999998,-0.212112,-0.268387,-0.282043,-0.300659,-0.346298,-0.356552,-0.349136,-0.318069,-0.32160900000000003,-0.329758,-0.33103899999999997,-0.391006,-0.346909,-0.38559,-0.404694,-0.30571,-0.327957,-0.284439,-0.310181,-0.274048,-0.23753400000000002,-0.27273600000000003,-0.342133,-0.335754,-0.365845,-0.416687,-0.447266,-0.371506,-0.44796800000000003,-0.448929,-0.479446,-0.345657,-0.43241899999999994,-0.48281899999999994,-0.5135350000000001,-0.508911","-1.009491,-1.035156,-1.026642,-0.957275,-0.962585,-0.9487760000000001,-0.93309,-0.927795,-0.9767459999999999,-0.966736,-0.9586180000000001,-0.86554,-0.8718110000000001,-0.9216770000000001,-0.809875,-0.931931,-0.96431,-0.8869319999999999,-0.881073,-0.8332370000000001,-0.8643190000000001,-0.948608,-0.9848790000000001,-0.9445950000000001,-1.069046,-0.891983,-0.89859,-0.8573459999999999,-0.9504389999999999,-1.028229,-0.93309,-0.9097290000000001,-0.9990389999999999,-0.988022,-0.9073180000000001,-0.646606,-0.807343,-0.941177,-0.8296049999999999,-0.707245",40
45,"0.07482899999999999,0.081711,-0.015152,0.062073,0.14386,0.079926,0.047531,0.09196499999999999,0.111526,0.130051,0.071732,0.091629,0.082901,0.082825,0.098862,0.064651,0.149307,0.113678,0.114014,0.11193800000000001,0.099716,0.081573,0.10594200000000001,0.08520499999999999,0.0055850000000000006,0.057434000000000006,0.086273,0.08522,0.093658,0.147949,0.12558,0.13765,0.104691,0.074585,0.10923800000000002,0.136429,0.061783000000000005,0.061478,-0.010651,-0.08194","-0.511536,-0.665543,-0.571472,-0.5122220000000001,-0.580734,-0.564194,-0.571274,-0.608047,-0.61438,-0.605087,-0.507645,-0.617325,-0.5919800000000001,-0.631836,-0.655563,-0.468811,-0.611816,-0.540237,-0.5540470000000001,-0.661301,-0.645111,-0.599533,-0.775299,-0.710922,-0.47906499999999996,-0.556686,-0.600616,-0.622452,-0.690033,-0.673248,-0.6213069999999999,-0.554901,-0.502838,-0.65593,-0.43878199999999995,-0.46833800000000003,-0.435226,-0.43277,-0.405258,-0.49468999999999996","-1.148727,-0.8620760000000001,-0.8777159999999999,-0.809647,-0.756592,-0.805038,-0.871338,-0.901123,-0.8757020000000001,-0.754807,-0.7010649999999999,-0.743805,-0.8621059999999999,-0.987274,-0.829788,-0.695602,-0.864624,-0.670273,-0.84285,-0.800949,-0.7848510000000001,-0.846252,-0.9871979999999999,-0.785995,-0.6990970000000001,-0.686966,-0.6896359999999999,-0.9375610000000001,-0.930847,-0.985138,-0.9793700000000001,-0.921844,-0.9468989999999999,-0.9477389999999999,-1.005157,-0.917542,-0.848145,-0.749634,-0.93158,-0.934616",50
